year,month,day,births,day_of_year,day_of_week
1969,1,1,8486,1,3
1969,1,2,9002,2,4
1969,1,3,9542,3,5
1969,1,4,8960,4,6
1969,1,5,8390,5,7
1969,1,6,9560,6,1
1969,1,7,9738,7,2
1969,1,8,9734,8,3
1969,1,9,9434,9,4
1969,1,10,10042,10,5
1969,1,11,9178,11,6
1969,1,12,8450,12,7
1969,1,13,9834,13,1
1969,1,14,10366,14,2
1969,1,15,9894,15,3
1969,1,16,9662,16,4
1969,1,17,9974,17,5
1969,1,18,9312,18,6
1969,1,19,8622,19,7
1969,1,20,9808,20,1
1969,1,21,10474,21,2
1969,1,22,9884,22,3
1969,1,23,9454,23,4
1969,1,24,9798,24,5
1969,1,25,9022,25,6
1969,1,26,8568,26,7
1969,1,27,9910,27,1
1969,1,28,10032,28,2
1969,1,29,9380,29,3
1969,1,30,9674,30,4
1969,1,31,9692,31,5
1969,2,1,9130,32,6
1969,2,2,8814,33,7
1969,2,3,9988,34,1
1969,2,4,9996,35,2
1969,2,5,9676,36,3
1969,2,6,9728,37,4
1969,2,7,10102,38,5
1969,2,8,9262,39,6
1969,2,9,8694,40,7
1969,2,10,9954,41,1
1969,2,11,9856,42,2
1969,2,12,10008,43,3
1969,2,13,9606,44,4
1969,2,14,10354,45,5
1969,2,15,9310,46,6
1969,2,16,8534,47,7
1969,2,17,9822,48,1
1969,2,18,10176,49,2
1969,2,19,9816,50,3
1969,2,20,9982,51,4
1969,2,21,9916,52,5
1969,2,22,9152,53,6
1969,2,23,8704,54,7
1969,2,24,9966,55,1
1969,2,25,10566,56,2
1969,2,26,10048,57,3
1969,2,27,9618,58,4
1969,2,28,9756,59,5
1969,3,1,9186,61,6
1969,3,2,8580,62,7
1969,3,3,10068,63,1
1969,3,4,10264,64,2
1969,3,5,10046,65,3
1969,3,6,9704,66,4
1969,3,7,9948,67,5
1969,3,8,9334,68,6
1969,3,9,8394,69,7
1969,3,10,9892,70,1
1969,3,11,10188,71,2
1969,3,12,9776,72,3
1969,3,13,9640,73,4
1969,3,14,10034,74,5
1969,3,15,8838,75,6
1969,3,16,8336,76,7
1969,3,17,10128,77,1
1969,3,18,10136,78,2
1969,3,19,10064,79,3
1969,3,20,9812,80,4
1969,3,21,9902,81,5
1969,3,22,8962,82,6
1969,3,23,8602,83,7
1969,3,24,9802,84,1
1969,3,25,10272,85,2
1969,3,26,9818,86,3
1969,3,27,9698,87,4
1969,3,28,10326,88,5
1969,3,29,8908,89,6
1969,3,30,8186,90,7
1969,3,31,9592,91,1
1969,4,1,9960,92,2
1969,4,2,9978,93,3
1969,4,3,9530,94,4
1969,4,4,9572,95,5
1969,4,5,8748,96,6
1969,4,6,8008,97,7
1969,4,7,9374,98,1
1969,4,8,10176,99,2
1969,4,9,9852,100,3
1969,4,10,9708,101,4
1969,4,11,9920,102,5
1969,4,12,8940,103,6
1969,4,13,8134,104,7
1969,4,14,9566,105,1
1969,4,15,10428,106,2
1969,4,16,9840,107,3
1969,4,17,9876,108,4
1969,4,18,9872,109,5
1969,4,19,8994,110,6
